               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061016,            0.086387,            0.018922,             0.75152,             0.22475,             0.23569,             0.11529,             0.04508,            0.082152,            0.010245,           0.0033329,           0.0033329,            0.070004
                   1,            0.050432,            0.082063,            0.010462,             0.76043,              0.2637,              0.2847,             0.14546,            0.042663,            0.080185,           0.0086214,           0.0066293,           0.0066293,            0.039967
                   2,            0.048403,            0.082129,            0.009671,             0.71507,             0.29618,             0.31267,             0.15834,            0.041997,            0.079472,           0.0079752,           0.0097793,           0.0097793,           0.0097841
                   3,            0.046213,            0.081424,           0.0090826,             0.72546,              0.3167,             0.33347,             0.17119,            0.041054,            0.078187,           0.0072966,           0.0095095,           0.0095095,           0.0095095
                   4,            0.044757,            0.079906,           0.0084675,             0.75168,              0.3184,             0.34801,             0.17995,            0.040509,            0.077427,             0.00689,           0.0095095,           0.0095095,           0.0095095
                   5,            0.043818,            0.078796,           0.0080877,             0.74972,             0.33188,             0.35734,             0.18679,            0.040068,            0.076715,           0.0066708,           0.0091406,           0.0091406,           0.0091406
                   6,            0.043281,            0.078386,           0.0078181,              0.7689,              0.3293,             0.36423,             0.19161,            0.039766,            0.076273,           0.0064995,            0.008682,            0.008682,            0.008682
                   7,            0.042738,            0.077309,           0.0076335,             0.77443,             0.33074,             0.37065,             0.19407,            0.039517,             0.07588,           0.0063677,            0.008145,            0.008145,            0.008145
                   8,             0.04226,            0.077252,           0.0074375,             0.71195,             0.34932,             0.37601,              0.1977,            0.039302,            0.075589,           0.0062561,            0.007543,            0.007543,            0.007543
                   9,             0.04193,            0.076745,           0.0073177,             0.73798,             0.34453,             0.37935,             0.20047,            0.039164,            0.075369,           0.0061628,           0.0068906,           0.0068906,           0.0068906
                  10,            0.041548,            0.076201,           0.0071921,             0.70729,              0.3523,             0.38129,             0.20249,            0.039028,            0.075133,           0.0060649,            0.006204,            0.006204,            0.006204
                  11,            0.041195,            0.075678,           0.0070205,             0.71381,             0.35136,             0.38454,              0.2046,            0.038911,            0.074958,           0.0059954,              0.0055,              0.0055,              0.0055
                  12,            0.040816,            0.075325,           0.0068777,             0.70326,             0.36175,             0.38573,             0.20577,            0.038812,            0.074801,           0.0059316,            0.004796,            0.004796,            0.004796
                  13,            0.040475,            0.074713,           0.0067319,             0.71629,             0.35793,              0.3873,              0.2067,            0.038734,            0.074664,           0.0058906,           0.0041094,           0.0041094,           0.0041094
                  14,            0.040241,            0.074487,           0.0066191,             0.71779,              0.3592,             0.38871,             0.20769,            0.038672,            0.074563,           0.0058553,            0.003457,            0.003457,            0.003457
                  15,            0.039959,             0.07398,           0.0065375,             0.70233,             0.36838,             0.39034,              0.2085,            0.038619,            0.074479,            0.005825,            0.002855,            0.002855,            0.002855
                  16,             0.03968,            0.073324,           0.0064201,             0.69426,             0.37481,             0.39176,             0.20922,            0.038576,            0.074411,            0.005799,            0.002318,            0.002318,            0.002318
                  17,            0.039468,            0.073546,           0.0063047,              0.7117,             0.36898,             0.39295,             0.20986,            0.038538,            0.074343,           0.0057769,           0.0018594,           0.0018594,           0.0018594
                  18,            0.039265,            0.072954,           0.0061863,              0.7085,             0.37203,             0.39382,             0.21031,            0.038505,            0.074285,           0.0057585,           0.0014905,           0.0014905,           0.0014905
                  19,            0.039115,            0.072601,           0.0061179,             0.71553,             0.36977,             0.39482,             0.21121,            0.038475,            0.074235,           0.0057417,           0.0012202,           0.0012202,           0.0012202
